song_id;title;genre;Рік запису;Хто записав;Місце запису;Респондент;Вік респондента/рік народження
3.7_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПИСЬНЯ ПРО ДИВКУ МАРУСЮ БОГУСЛАВКУ;дума;1906-1097 рр.;Мартинович П.;Костянтиноград (нині Красноград),  Красноградського району Харківської області;Лазоренко К.;
3.8_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО МАРУСЮ БОГУСЛАВКУ;дума;1908 р.;Колесса Ф.;Миргород Полтавської губернії (нині Миргородського району Полтавської області);Кравченко М.;1858 р.
3.9_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО МАРУСЮ БОГУСЛАВКУ;дума;1900-і рр.;Сластіон О.;с. Лелюхівка Кобеляцького повіту Полтавської губернії (нині Новосанжарського району Полтавської області);Скубій І.;1858 р.
3.10_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО МАРУСЮ БОГУСЛАВКУ;дума;;Сластіон О.;с. Лелюхівка Кобеляцького повіту Полтавської губернії (нині Новосанжарського району Полтавської області);Скубій І.;1858 р.
3.11_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО МАРУСЮ БОГУСЛАВКУ;дума;1910 р.;Сластіон О.;Богодухівський повіт Харківської губернії;Пасюга С.;1862 р.
3.12_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;МАРУСЯ ПОПИВНА-БОГУСЛАВКА;дума;25 травня 1927 р.;Кравченко В.;с. Сколубів Пулинської волості Волинської округи с. Сколобів Житомирської області);Хамулка Ф.;
3.13_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО МАРУСЮ БОГУСЛАВКУ;дума;лютий 1930 р.;Харків В.;с. Ков'яги Валківського району Харківської області;Гончар (Гончаренко) В.;
3.14_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО МАРУСЮ БОГУСЛАВКУ;дума;1930 р.;Харків В.;с. Ков'яги Валківського району Харківської області;Гончар (Гончаренко) В.;
3.15_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;НЕВОЛЬНИКИ;дума;вересень 1930 р.;Харків В.;с. Петрівка Красноградського району Харківської області;Білокриницький В.;52 р.
3.16_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;МАРУСЯ БОГУСЛАВКА;дума;22 лютого 1932 р.;Мартинович П.;Красноградський район Харківського округу;Жадан Т.;
