song_id;title;genre;Рік запису;Хто записав;Місце запису;Респондент;Вік респондента/рік народження
6Б_Grushevska_1927_Tom1;Самойло Кишка.;дума;20.07.1832 р;П. Лукашевич;на Полтавщині, коло Ромна;бандурист Стрічка;
6В_Grushevska_1927_Tom1;Кішка Самійло;дума;20.05.1876 р.;П. Мартинович;Лохвиця на Приліпці;кобзар Іван Кравченко (Крюковський).;
6Г_Grushevska_1927_Tom1;;дума;перед 1882—3 рр.;А. Зайкевич;Лубенський повіт;кобзар;
6Ґ_Grushevska_1927_Tom1;Самійло Кішка.;дума;1882 р.;В. Горленко;;Бандурист Іван Крюковський;
6Д_Grushevska_1927_Tom1;Про Кішку Самійла;дума;1909 р.;Ф. Колесса;Лелюхівки Кобеляцького пов. ;лірник Скубій;
7А_Grushevska_1927_Tom1;Пирятинскій Поповичъ Алексѣтй.;дума;І або ІІ десятиліття ХІХ ст.;П. Житецький;околиці Мирогороду ;Іван ;
7Б_Grushevska_1927_Tom1;О Алексѣе Поповиче или о бурѣ претерпѣнной Козаками на Морѣ.;дума;1814 р. ;М. Цертелев;коло Хорола;;
7В_Grushevska_1927_Tom1;;дума;;І. Срезневський;;;
7Г_Grushevska_1927_Tom1;;дума;1840-х р.;М. Костомаров ;Харків;;
7Ґ_Grushevska_1927_Tom1;Оликсій Поповичъ.;дума;;;Харківська губернія;лірник;
7Д_Grushevska_1927_Tom1;;дума;;М. А. Стахович;село Богдани Пирятинського пов. на Полтавщині.;;
7Е_Grushevska_1927_Tom1;;дума;;П. Куліш;с. Александрівка Лубенського повіту, на Полтавщині;лірник Хведор Кононенко;
7Є_Grushevska_1927_Tom1;;дума;;;Зеленки Канівського повіту на Київщині;;
7Ж_Grushevska_1927_Tom1;;дума;;П. Чубинський і О. Новицький;;;
7З_Grushevska_1927_Tom1;;дума;;А. Зайкевич;Харків;сліпий бандурист;
7І_Grushevska_1927_Tom1;Про Олексія Поповича.;дума;20.05.1876 р.;П. Мартинович; Лохвиця на Приліпці;Іван Кравченко-Крюковський;
7Ї_Grushevska_1927_Tom1;Олексій Попович;дума;18.07.1881 р.;А. Твердохлібов;Охтирка;Пархомівський сліпець Ілля Журавель;
7Й_Grushevska_1927_Tom1;Алексєй Попович, казак запорозькій.;дума;;А. Малинка;с. Марчихина Буда, Глухівського пов;лірник Н. Дудка;
